Gene	c0.05	c0.11	c0.16	c0.22	c0.30	L0.05	L0.11	L0.16	L0.22	L0.30	n0.05	n0.11	n0.16	n0.22	n0.30	p0.05	p0.11	p0.16	p0.22	p0.30	u0.05	u0.11	u0.16	u0.22	u0.30
YOL030W	-0.251367662160228	-0.0936381837088642	0.0975388901984015	0.00164156620915644	-0.0913657236917019	-0.360244711470776	0.202125863562508	-0.142663107437876	-0.147769421976249	0.01980219065331	-0.921873009544687	-0.00934705541412677	0.0565534190261703	-0.0239284625614395	-0.0812889885962339	0.153458201257485	0.347095873713541	0.459821818261571	0.177628733539966	-0.997166569227786	-0.504712238858545	-0.757319853945506	-0.435952064948449	-0.220628782823507	-0.187254887391974
YOL038W	-0.715187015839383	-0.787828067064106	-0.870995593827479	-1.08427392521737	-1.14388301922021	-0.46446757582852	-0.606942027712229	-0.714320618850353	-0.59976138914508	-0.617654873007883	-0.763856976731343	-0.561322814163535	-0.579986916488269	-0.864089506716876	-0.715086674272539	-0.0628901655477154	-0.454828590823306	-0.571353784792007	-0.786025774192839	-0.499622170430878	-0.282450682761736	-0.600288495901424	-0.842982012867931	-0.615996305009406	-0.650095269209926
YOL039W	1.05975458640859	1.06378295924026	1.12647861503285	1.29901607935323	1.63041317529526	1.34769812825288	1.29815608256304	1.42830907468652	1.59169690283126	1.4914494072713	1.09699922520564	1.07973789322303	1.11999562671804	1.56513082298201	1.68111058929574	0.099374287566817	0.62255849765033	0.938455280462177	1.26849333387897	1.64887110461408	0.269803055374072	0.751599263725882	1.27789188524802	1.39200190478671	1.53697198740321
YOL040C	1.20194239238376	1.07043902609496	1.12453995622785	1.36524203867143	1.53015501770887	1.48756541542825	1.44100580641007	1.5938051835264	1.58565509089708	1.79388002764525	1.00102067039012	0.966873463521761	0.963792613547666	1.47657066553668	1.42357830561248	0.109123603093504	0.606679064954675	0.897324798380278	1.45781604500229	1.85196152872595	0.523652908853178	0.97452200418861	1.48169957896343	1.26645828319764	1.7954288501001
YOL049W	-0.0782921867552198	-0.635574873176571	-0.190092527106852	-0.0383224572183467	0.365697661903412	0.708348748080821	0.08722415548162	0.61297712487461	-0.404717108045	0.0392517217515899	-0.500901810439698	-0.189160326661768	-0.191312026949414	0.127101640430625	0.0589038463065853	-0.407878725542747	-0.0915718477732017	-0.415370597591104	0.169735300401594	0.489089712525323	-0.18649074844505	0.252049850026967	1.00468731968285	0.429204494882091	0.506026382918363
YOL058W	-1.00566920395339	-0.87113451023114	-1.32046809372586	-1.03019866508114	-1.21135806608183	1.82187485501704	1.82861581280301	1.85351031519295	1.27462288976448	0.183561957874857	0.355779884632349	0.469872992537246	0.246152363048464	0.0960515032817184	0.512275016376388	-0.2638516522692	-0.416609036229676	-0.0170139934411164	0.0293769302356064	1.09101878953557	0.106197643654557	1.08414098681194	0.890798289536965	0.76700752534151	-0.118253934511336
YOL059W	-0.507544576760334	-0.5890238357342	-1.20851824041942	-1.58528484586336	-1.2665257895388	0.355733771392772	0.141613799272972	0.189544053641586	0.036367730704045	-0.3807970459813	-0.933226897915486	-0.747404205806984	-0.684256669013555	-0.75321088510927	-0.526914497550743	-0.00612087420088836	-0.448394338976983	-0.332244708020627	-0.270454222259334	-0.402357878825305	-0.566454347727767	-0.262547368353509	-0.403804913545385	-0.572654543774777	-0.128312912611831
YOL061W	0.0556701787510695	0.326593869273096	0.151682183749564	-0.0897785160981156	-0.188575076767665	0.573484623492176	0.17986206305506	0.24533503928274	-0.0487604402269423	-0.0667825765819299	-0.0405618519247784	0.254016175583874	0.233643978029227	0.21526729793922	0.14970032023572	0.125677711016386	0.231729950242126	0.298541469732454	0.183370830225902	-0.622179739813159	0.188744337053852	-0.0194206167956281	-0.0281219902253698	-0.100957590691639	0.24105355409584
YOL064C	-0.499268023973461	-0.585574854034211	-0.702991411194824	-0.543495195812114	0.0745495792804347	1.41675470160407	0.885612640345494	1.05487733898196	0.609855865792176	0.331578803161359	0.0114199576495215	0.104437478931534	-0.0172980636901999	0.133332645959555	0.395025466418209	0.027092861268857	-0.130840890393156	-0.0770566095696039	0.117252670766837	0.357336210688331	-0.414602719341158	-0.0592216519648871	0.251642021825467	0.103346678544244	0.380872759446007
YOL084W	0.278772475052346	0.267314421038222	-0.0004191315300159	0.352756999404217	0.242752274936009	-0.280951426668392	0.319063074443116	0.39976006913191	0.422270725478156	0.52033882130469	0.44855490025192	1.05928778217533	1.11683565852568	0.808263842910508	1.29088239682588	0.133267152724039	0.147055661632974	0.455132468283047	0.286118766650996	0.210028961093649	0.368898063310261	0.695684545160826	0.729695610705452	1.49355417596048	0.604278324829832
